File,Valance,Arousal,Valence_0,Arousal_0
TR_001_01,6,6,4,4
TR_001_02,5,5,4,4
TR_001_03,7,6,4,4
TR_001_04,7,6,4,4
TR_002_01,2,7,6,4
TR_002_02,6,6,6,4
TR_002_03,7,6,6,4
TR_002_04,7,6,6,4
TR_003_01,5,8,5,7
TR_003_02,6,7,5,7
TR_003_03,6,7,5,7
TR_003_04,7,7,5,7
TR_004_01,4,8,6,7
TR_004_02,3,8,6,7
TR_004_03,8,7,6,7
TR_004_04,8,9,6,7
TR_005_01,7,5,7,6
TR_005_02,7,5,7,6
TR_005_03,7,6,7,6
TR_005_04,7,6,7,6
TR_006_01,7,10,7,10
TR_006_02,7,10,7,10
TR_006_03,8,10,7,10
TR_006_04,9,8,7,10
TR_007_01,8,6,9,0
TR_007_02,7,2,9,0
TR_007_03,7,2,9,0
TR_007_04,7,4,9,0
TR_008_01,8,7,9,7
TR_008_02,6,7,9,7
TR_008_03,6,7,9,7
TR_008_04,8,7,9,7
TR_009_01,8,5,8,5
TR_009_02,8,5,8,5
TR_009_03,8,6,8,5
TR_009_04,8,6,8,5
TR_010_01,4,8,7,4
TR_010_02,3,5,7,4
TR_010_03,9,7,7,4
TR_010_04,8,7,7,4
TR_011_01,7,6,7,4
TR_011_02,7,5,7,4
TR_011_03,8,6,7,4
TR_011_04,8,6,7,4
TR_012_01,7,6,9,5
TR_012_02,7,6,9,5
TR_012_03,7,7,9,5
TR_012_04,8,7,9,5
TR_013_01,4,4,5,4
TR_013_02,4,4,5,4
TR_013_03,5,5,5,4
TR_013_04,5,6,5,4
TR_014_01,8,7,9,6
TR_014_02,8,7,9,6
TR_014_03,9,7,9,6
TR_014_04,10,7,9,6
TR_015_01,5,9,6,6
TR_015_02,4,9,6,6
TR_015_03,7,8,6,6
TR_015_04,6,8,6,6
TR_016_01,3,6,5,4
TR_016_02,4,5,5,4
TR_016_03,7,6,5,4
TR_016_04,8,6,5,4
TR_017_01,6,5,7,6
TR_017_02,6,7,7,6
TR_017_03,7,8,7,6
TR_017_04,7,8,7,6
TR_018_01,6,6,8,6
TR_018_02,6,6,8,6
TR_018_03,7,6,8,6
TR_018_04,7,7,8,6
TR_019_01,8,5,8,5
TR_019_02,8,6,8,5
TR_019_03,8,7,8,5
TR_019_04,8,7,8,5
TR_020_01,3,3,7,5
TR_020_02,5,7,7,5
TR_020_03,6,7,7,5
TR_020_04,7,6,7,5
TR_021_01,4,6,5,6
TR_021_02,4,5,5,6
TR_021_03,6,7,5,6
TR_021_04,7,6,5,6
TR_022_01,6,7,7,5
TR_022_02,7,7,7,5
TR_022_03,8,8,7,5
TR_022_04,8,8,7,5
TR_023_01,6,7,7,6
TR_023_02,7,7,7,6
TR_023_03,7,6,7,6
TR_023_04,8,7,7,6
TR_024_01,5,8,4,6
TR_024_02,3,8,4,6
TR_024_03,7,8,4,6
TR_024_04,7,7,4,6
TR_025_01,4,7,7,6
TR_025_02,5,6,7,6
TR_025_03,9,8,7,6
TR_025_04,9,8,7,6
TR_026_01,5,8,7,7
TR_026_02,5,7,7,7
TR_026_03,8,8,7,7
TR_026_04,7,8,7,7
TR_027_01,5,4,5,3
TR_027_02,5,4,5,3
TR_027_03,6,4,5,3
TR_027_04,6,5,5,3
TR_028_01,2,6,4,4
TR_028_02,5,7,4,4
TR_028_03,7,5,4,4
TR_028_04,5,5,4,4
TR_029_01,7,8,9,8
TR_029_02,7,8,9,8
TR_029_03,8,8,9,8
TR_029_04,9,8,9,8
TR_030_01,6,6,7,5
TR_030_02,5,5,7,5
TR_030_03,6,5,7,5
TR_030_04,8,6,7,5
TR_031_01,3,4,5,3
TR_031_02,5,5,5,3
TR_031_03,7,5,5,3
TR_031_04,7,6,5,3
TR_032_01,6,9,7,9
TR_032_02,7,10,7,9
TR_032_03,8,7,7,9
TR_032_04,9,5,7,9
TR_033_01,9,8,9,7
TR_033_02,7,6,9,7
TR_033_03,8,6,9,7
TR_033_04,9,8,9,7
TR_034_01,8,7,8,5
TR_034_02,7,6,8,5
TR_034_03,8,7,8,5
TR_034_04,9,7,8,5
TR_035_01,7,9,8,7
TR_035_02,5,6,8,7
TR_035_03,8,9,8,7
TR_035_04,9,9,8,7
TR_036_01,5,8,8,5
TR_036_02,6,6,8,5
TR_036_03,8,7,8,5
TR_036_04,10,7,8,5
TR_037_01,7,7,7,6
TR_037_02,8,7,7,6
TR_037_03,8,8,7,6
TR_037_04,8,8,7,6
TR_038_01,2,8,7,4
TR_038_02,2,7,7,4
TR_038_03,9,8,7,4
TR_038_04,9,9,7,4
TR_039_01,5,6,8,5
TR_039_02,4,6,8,5
TR_039_03,8,7,8,5
TR_039_04,8,7,8,5
TR_040_01,5,7,8,7
TR_040_02,8,8,8,7
TR_040_03,8,8,8,7
TR_040_04,8,8,8,7
TR_041_01,5,7,4,5
TR_041_02,6,6,4,5
TR_041_03,8,7,4,5
TR_041_04,9,8,4,5
TR_042_01,7,6,7,5
TR_042_02,7,7,7,5
TR_042_03,8,7,7,5
TR_042_04,8,7,7,5
TR_043_01,9,5,9,5
TR_043_02,9,6,9,5
TR_043_03,9,5,9,5
TR_043_04,9,5,9,5
TR_044_01,5,6,5,8
TR_044_02,5,7,5,8
TR_044_03,7,7,5,8
TR_044_04,7,7,5,8
TR_045_01,10,10,10,8
TR_045_02,10,9,10,8
TR_045_03,10,9,10,8
TR_045_04,10,8,10,8
TR_002_01,2,7,6,4
TR_038_02,2,7,7,4
TR_038_02,2,7,7,4
TR_028_01,2,6,4,4
TR_038_01,2,8,7,4
TR_038_01,2,8,7,4
TR_038_01,2,8,7,4
TR_038_02,2,7,7,4
TR_038_01,2,8,7,4
TR_038_02,2,7,7,4
TR_038_01,2,8,7,4
TR_038_01,2,8,7,4
TR_038_01,2,8,7,4
TR_002_01,2,7,6,4
TR_028_01,2,6,4,4
TR_002_01,2,7,6,4
TR_038_01,2,8,7,4
TR_028_01,2,6,4,4
TR_028_01,2,6,4,4
TR_028_01,2,6,4,4
TR_028_01,2,6,4,4
TR_038_02,2,7,7,4
TR_002_01,2,7,6,4
TR_038_02,2,7,7,4
TR_038_02,2,7,7,4
TR_002_01,2,7,6,4
TR_038_02,2,7,7,4
TR_038_01,2,8,7,4
TR_038_02,2,7,7,4
TR_038_02,2,7,7,4
TR_038_02,2,7,7,4
TR_038_01,2,8,7,4
TR_038_01,2,8,7,4
TR_038_02,2,7,7,4
TR_038_02,2,7,7,4
TR_002_01,2,7,6,4
TR_038_01,2,8,7,4
TR_028_01,2,6,4,4
TR_028_01,2,6,4,4
TR_038_02,2,7,7,4
TR_038_02,2,7,7,4
TR_038_02,2,7,7,4
TR_028_01,2,6,4,4
TR_020_01,3,3,7,5
TR_020_01,3,3,7,5
TR_031_01,3,4,5,3
TR_004_02,3,8,6,7
TR_031_01,3,4,5,3
TR_020_01,3,3,7,5
TR_020_01,3,3,7,5
TR_010_02,3,5,7,4
TR_016_01,3,6,5,4
TR_010_02,3,5,7,4
TR_004_02,3,8,6,7
TR_016_01,3,6,5,4
TR_024_02,3,8,4,6
TR_020_01,3,3,7,5
TR_004_02,3,8,6,7
TR_031_01,3,4,5,3
TR_020_01,3,3,7,5
TR_031_01,3,4,5,3
TR_010_02,3,5,7,4
TR_010_02,3,5,7,4
TR_016_01,3,6,5,4
TR_020_01,3,3,7,5
TR_024_02,3,8,4,6
TR_020_01,3,3,7,5
TR_031_01,3,4,5,3
TR_004_02,3,8,6,7
TR_031_01,3,4,5,3
TR_004_02,3,8,6,7
TR_024_02,3,8,4,6
TR_016_01,3,6,5,4
TR_010_02,3,5,7,4
TR_020_01,3,3,7,5
TR_020_01,3,3,7,5
TR_010_02,3,5,7,4
TR_024_02,3,8,4,6
TR_031_01,3,4,5,3
TR_010_02,3,5,7,4
TR_004_02,3,8,6,7
TR_024_02,3,8,4,6
TR_004_02,3,8,6,7
TR_020_01,3,3,7,5
TR_039_02,4,6,8,5
TR_013_01,4,4,5,4
TR_021_02,4,5,5,6
TR_010_01,4,8,7,4
TR_025_01,4,7,7,6
TR_010_01,4,8,7,4
TR_021_01,4,6,5,6
TR_004_01,4,8,6,7
TR_021_01,4,6,5,6
TR_013_01,4,4,5,4
TR_013_02,4,4,5,4
TR_016_02,4,5,5,4
TR_039_02,4,6,8,5
TR_015_02,4,9,6,6
TR_015_02,4,9,6,6
TR_016_02,4,5,5,4
TR_025_01,4,7,7,6
TR_013_02,4,4,5,4
TR_021_02,4,5,5,6
TR_010_01,4,8,7,4
TR_025_01,4,7,7,6
TR_021_01,4,6,5,6
TR_013_01,4,4,5,4
TR_025_01,4,7,7,6
TR_004_01,4,8,6,7
TR_010_01,4,8,7,4
TR_015_02,4,9,6,6
TR_013_01,4,4,5,4
TR_039_02,4,6,8,5
TR_013_02,4,4,5,4
TR_010_01,4,8,7,4
TR_004_01,4,8,6,7
TR_025_01,4,7,7,6
TR_039_02,4,6,8,5
TR_013_02,4,4,5,4
TR_025_01,4,7,7,6
TR_015_02,4,9,6,6
TR_003_01,5,8,5,7
TR_027_01,5,4,5,3
TR_039_01,5,6,8,5
TR_035_02,5,6,8,7
TR_003_01,5,8,5,7
TR_013_04,5,6,5,4
TR_013_04,5,6,5,4
TR_044_02,5,7,5,8
TR_028_04,5,5,4,4
TR_041_01,5,7,4,5
TR_015_01,5,9,6,6
TR_025_02,5,6,7,6
TR_044_02,5,7,5,8
TR_015_01,5,9,6,6
TR_027_02,5,4,5,3
TR_024_01,5,8,4,6
TR_001_02,5,5,4,4
TR_035_02,5,6,8,7
TR_025_02,5,6,7,6
TR_026_02,5,7,7,7
TR_027_02,5,4,5,3
TR_028_04,5,5,4,4
TR_015_01,5,9,6,6
TR_044_01,5,6,5,8
TR_002_02,6,6,6,4
TR_008_03,6,7,9,7
TR_003_03,6,7,5,7
TR_036_02,6,6,8,5
TR_018_02,6,6,8,6
TR_021_03,6,7,5,6
TR_008_03,6,7,9,7
TR_030_03,6,5,7,5
TR_017_01,6,5,7,6
TR_017_02,6,7,7,6
TR_001_01,6,6,4,4
TR_020_03,6,7,7,5
TR_030_01,6,6,7,5
TR_008_03,6,7,9,7
TR_027_03,6,4,5,3
TR_002_02,6,6,6,4
TR_022_01,6,7,7,5
TR_022_01,6,7,7,5
TR_015_04,6,8,6,6
TR_027_04,6,5,5,3
TR_002_02,6,6,6,4
TR_002_02,6,6,6,4
TR_041_02,6,6,4,5
TR_017_01,6,5,7,6
TR_003_03,6,7,5,7
TR_019_03,8,7,8,5
TR_040_02,8,8,8,7
TR_007_01,8,6,9,0
TR_043_03,9,5,9,5
TR_038_03,9,8,7,4
TR_006_04,9,8,7,10
TR_035_04,9,9,8,7
TR_035_04,9,9,8,7
TR_029_04,9,8,9,8
TR_043_03,9,5,9,5
TR_041_04,9,8,4,5
TR_043_02,9,6,9,5
TR_043_01,9,5,9,5
TR_025_04,9,8,7,6
TR_043_03,9,5,9,5
TR_043_01,9,5,9,5
TR_034_04,9,7,8,5
TR_033_04,9,8,9,7
TR_041_04,9,8,4,5
TR_043_04,9,5,9,5
TR_038_04,9,9,7,4
TR_025_03,9,8,7,6
TR_043_01,9,5,9,5
TR_032_04,9,5,7,9
TR_043_02,9,6,9,5
TR_038_03,9,8,7,4
TR_032_04,9,5,7,9
TR_035_04,9,9,8,7
TR_038_03,9,8,7,4
TR_014_03,9,7,9,6
TR_025_04,9,8,7,6
TR_043_02,9,6,9,5
TR_045_03,10,9,10,8
TR_045_01,10,10,10,8
TR_045_02,10,9,10,8
TR_014_04,10,7,9,6
TR_045_04,10,8,10,8
TR_045_04,10,8,10,8
TR_014_04,10,7,9,6
TR_045_01,10,10,10,8
TR_045_04,10,8,10,8
TR_045_03,10,9,10,8
TR_045_04,10,8,10,8
TR_014_04,10,7,9,6
TR_045_04,10,8,10,8
TR_045_04,10,8,10,8
TR_045_01,10,10,10,8
TR_045_02,10,9,10,8
TR_045_02,10,9,10,8
TR_036_04,10,7,8,5
TR_045_03,10,9,10,8
TR_045_02,10,9,10,8
TR_036_04,10,7,8,5
TR_045_04,10,8,10,8
TR_045_03,10,9,10,8
TR_045_03,10,9,10,8
TR_045_04,10,8,10,8
TR_045_03,10,9,10,8
TR_045_03,10,9,10,8
TR_045_03,10,9,10,8
TR_036_04,10,7,8,5
TR_045_01,10,10,10,8
TR_045_04,10,8,10,8
TR_045_04,10,8,10,8
TR_045_04,10,8,10,8
TR_045_03,10,9,10,8
TR_014_04,10,7,9,6
TR_045_01,10,10,10,8
TR_045_04,10,8,10,8
TR_045_04,10,8,10,8
TR_045_02,10,9,10,8
TR_036_04,10,7,8,5
TR_045_01,10,10,10,8
